Country Name,Country Code,Series Name,Series Code,2017 [YR2017]
Belgium,BEL,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,0.729532583142538
Belgium,BEL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,19.1545604130921
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.12597086002607
Belize,BLZ,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,11574.452447147
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.562
Belize,BLZ,"School enrollment, tertiary (% gross)",SE.TER.ENRR,24.7719898223877
Belize,BLZ,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,90
Belize,BLZ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,45.601
Belize,BLZ,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.759374279880601
Belize,BLZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,94.2
Belize,BLZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,48.9
Belize,BLZ,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.596
Belize,BLZ,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,8.56020826898469
Belize,BLZ,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,14.0934562944006
Belize,BLZ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.14765339305816
Benin,BEN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,3041.77929984989
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.856
Benin,BEN,"School enrollment, tertiary (% gross)",SE.TER.ENRR,11.7388401031494
Benin,BEN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,65
Benin,BEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,46.768
Benin,BEN,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.601464478586818
Benin,BEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,34.5
Benin,BEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,18.7
Benin,BEN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1.659
Benin,BEN,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,28.4890165273264
Benin,BEN,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,15.1075858507501
Benin,BEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.0432648555103608
